Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Christian Brothers University",Memphis,Tennessee,35.050667,-89.847782,1,place,,,"Memphis, TN 38101",,,,,Memphis,TN,"Shelby County",38101,US,"TIGER/Line® from the US Census Bureau",,
"Cumberland University",Lebanon,Tennessee,36.267266,-86.291167,1,place,,,"Lebanon, TN 37087",,,,,Lebanon,TN,"Wilson County",37087,US,"TIGER/Line® from the US Census Bureau",,
"Motlow State Community College",Tullahoma,Tennessee,35.36202,-86.20943,1,place,,,"Tullahoma, TN 37388",,,,,Tullahoma,TN,"Coffee County",37388,US,"TIGER/Line® from the US Census Bureau",,
"The University of Tennessee-Martin",Martin,Tennessee,36.324103,-88.782561,1,place,,,"Martin, TN 38237",,,,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® from the US Census Bureau",,
"Tennessee Technological University",Cookeville,Tennessee,36.217846,-85.542327,1,place,,,"Cookeville, TN 38501",,,,,Cookeville,TN,"Putnam County",38501,US,"TIGER/Line® from the US Census Bureau",,
"Walters State Community College",Morristown,Tennessee,36.188826,-83.261343,1,place,,,"Morristown, TN 37813",,,,,Morristown,TN,"Hamblen County",37813,US,"TIGER/Line® from the US Census Bureau",,
"William R Moore College of Technology",Memphis,Tennessee,35.050667,-89.847782,1,place,,,"Memphis, TN 38101",,,,,Memphis,TN,"Shelby County",38101,US,"TIGER/Line® from the US Census Bureau",,
"Strayer University-Tennessee",Memphis,Tennessee,35.050667,-89.847782,1,place,,,"Memphis, TN 38101",,,,,Memphis,TN,"Shelby County",38101,US,"TIGER/Line® from the US Census Bureau",,
"Cisco College",Cisco,Texas,32.286476,-98.973319,1,place,,,"Cisco, TX 76437",,,,,Cisco,TX,"Eastland County",76437,US,"TIGER/Line® from the US Census Bureau",,
"Concordia University Texas",Austin,Texas,30.268335,-97.741382,1,place,,,"Austin, TX 78701",,,,,Austin,TX,"Travis County",78701,US,"TIGER/Line® from the US Census Bureau",,
"North Central Texas College",Gainesville,Texas,33.654698,-97.158295,1,place,,,"Gainesville, TX 76240",,,,,Gainesville,TX,"Cooke County",76240,US,"TIGER/Line® from the US Census Bureau",,
"Hallmark University","San Antonio",Texas,29.468413,-98.528889,1,place,,,"San Antonio, TX 78201",,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® from the US Census Bureau",,
"Hill College",Hillsboro,Texas,31.937903,-97.057661,1,place,,,"Hillsboro, TX 76645",,,,,Hillsboro,TX,"Hill County",76645,US,"TIGER/Line® from the US Census Bureau",,
"University of Houston-Victoria",Victoria,Texas,28.804947,-96.984711,1,place,,,"Victoria, TX 77901",,,,,Victoria,TX,"Victoria County",77901,US,"TIGER/Line® from the US Census Bureau",,
"University of Houston",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"University of the Incarnate Word","San Antonio",Texas,29.468413,-98.528889,1,place,,,"San Antonio, TX 78201",,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® from the US Census Bureau",,
"Lamar University",Beaumont,Texas,30.073712,-94.109705,1,place,,,"Beaumont, TX 77701",,,,,Beaumont,TX,"Jefferson County",77701,US,"TIGER/Line® from the US Census Bureau",,
"Texas A & M International University",Laredo,Texas,27.515879,-99.494078,1,place,,,"Laredo, TX 78040",,,,,Laredo,TX,"Webb County",78040,US,"TIGER/Line® from the US Census Bureau",,
"Lincoln College of Technology-Grand Prairie","Grand Prairie",Texas,32.776671,-97.009389,1,place,,,"Grand Prairie, TX 75050",,,,,"Grand Prairie",TX,"Dallas County",75050,US,"TIGER/Line® from the US Census Bureau",,
"Midwestern State University","Wichita Falls",Texas,33.905544,-98.479881,1,place,,,"Wichita Falls, TX 76301",,,,,"Wichita Falls",TX,"Wichita County",76301,US,"TIGER/Line® from the US Census Bureau",,
"The University of Texas Rio Grande Valley",Edinburg,Texas,26.280689,-98.183295,1,place,,,"Edinburg, TX 78539",,,,,Edinburg,TX,"Hidalgo County",78539,US,"TIGER/Line® from the US Census Bureau",,
"Panola College",Carthage,Texas,32.183133,-94.309189,1,place,,,"Carthage, TX 75633",,,,,Carthage,TX,"Panola County",75633,US,"TIGER/Line® from the US Census Bureau",,
"University of St Thomas",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"St. Mary's University","San Antonio",Texas,29.468413,-98.528889,1,place,,,"San Antonio, TX 78201",,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® from the US Census Bureau",,
"Sul Ross State University",Alpine,Texas,30.357926,-103.66029,1,place,,,"Alpine, TX 79830",,,,,Alpine,TX,"Brewster County",79830,US,"TIGER/Line® from the US Census Bureau",,
"Texas A & M University-Kingsville",Kingsville,Texas,27.422876,-97.84068,1,place,,,"Kingsville, TX 78363",,,,,Kingsville,TX,"Kleberg County",78363,US,"TIGER/Line® from the US Census Bureau",,
"The University of Texas at Arlington",Arlington,Texas,32.635563,-97.148829,1,place,,,"Arlington, TX 76001",,,,,Arlington,TX,"Tarrant County",76001,US,"TIGER/Line® from the US Census Bureau",,
"The University of Texas at El Paso","El Paso",Texas,31.763608,-106.484592,1,place,,,"El Paso, TX 79901",,,,,"El Paso",TX,"El Paso County",79901,US,"TIGER/Line® from the US Census Bureau",,
"The University of Texas at Tyler",Tyler,Texas,32.321937,-95.302223,1,place,,,"Tyler, TX 75701",,,,,Tyler,TX,"Smith County",75701,US,"TIGER/Line® from the US Census Bureau",,
"The University of Texas at San Antonio","San Antonio",Texas,29.468413,-98.528889,1,place,,,"San Antonio, TX 78201",,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® from the US Census Bureau",,
"Universal Technical Institute of Texas Inc.",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"Parker University",Dallas,Texas,32.781179,-96.790329,1,place,,,"Dallas, TX 75201",,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® from the US Census Bureau",,
"School of Automotive Machinists & Technology",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"Center for Advanced Legal Studies",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"Galen College of Nursing-San Antonio","San Antonio",Texas,29.468413,-98.528889,1,place,,,"San Antonio, TX 78201",,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® from the US Census Bureau",,
"South Texas College",McAllen,Texas,26.215816,-98.239592,1,place,,,"McAllen, TX 78501",,,,,McAllen,TX,"Hidalgo County",78501,US,"TIGER/Line® from the US Census Bureau",,
"Chicago School of Professional Psychology-College of
Nursing",Richardson,Texas,32.962811,-96.726826,1,place,,,"Richardson, TX 75080",,,,,Richardson,TX,"Dallas County",75080,US,"TIGER/Line® from the US Census Bureau",,
"Lamar Institute of Technology",Beaumont,Texas,30.073712,-94.109705,1,place,,,"Beaumont, TX 77701",,,,,Beaumont,TX,"Jefferson County",77701,US,"TIGER/Line® from the US Census Bureau",,
"Universal Technical Institute-Dallas Fort Worth",Irving,Texas,32.767268,-96.777626,1,place,,,"Irving, TX 75015",,,,,Irving,TX,"Dallas County",75015,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Texas",Houston,Texas,29.813142,-95.309789,1,place,,,"Houston, TX 77001",,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® from the US Census Bureau",,
"Rio Grande Valley College",Pharr,Texas,26.1948,-98.18362,1,place,,,"Pharr, TX 78577",,,,,Pharr,TX,"Hidalgo County",78577,US,"TIGER/Line® from the US Census Bureau",,
"West Coast University-Dallas",Richardson,Texas,32.962811,-96.726826,1,place,,,"Richardson, TX 75080",,,,,Richardson,TX,"Dallas County",75080,US,"TIGER/Line® from the US Census Bureau",,
"Snow College",Ephraim,Utah,39.373122,-111.62523,1,place,,,"Ephraim, UT 84627",,,,,Ephraim,UT,"Sanpete County",84627,US,"TIGER/Line® from the US Census Bureau",,
"Utah Valley University",Orem,Utah,40.311353,-111.72496,1,place,,,"Orem, UT 84057",,,,,Orem,UT,"Utah County",84057,US,"TIGER/Line® from the US Census Bureau",,
"Western Governors University","Salt Lake City",Utah,40.756095,-111.900719,1,place,,,"Salt Lake City, UT 84101",,,,,"Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® from the US Census Bureau",,
"Neumont College of Computer Science","Salt Lake City",Utah,40.756095,-111.900719,1,place,,,"Salt Lake City, UT 84101",,,,,"Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® from the US Census Bureau",,
"Advanced Technology Institute","Virginia Beach",Virginia,36.844004,-76.12036,1,place,,,"Virginia Beach, VA 23450",,,,,"Virginia Beach",VA,"Virginia Beach City",23450,US,"TIGER/Line® from the US Census Bureau",,
"George Mason University",Fairfax,Virginia,38.853231,-77.305097,1,place,,,"Fairfax, VA 22030",,,,,Fairfax,VA,"Fairfax City",22030,US,"TIGER/Line® from the US Census Bureau",,
"Germanna Community College","Locust Grove",Virginia,38.308398,-77.796156,1,place,,,"Locustgrove, VA 22508",,,,,Locustgrove,VA,"Orange County",22508,US,"TIGER/Line® from the US Census Bureau",,
"Hampton University",Hampton,Virginia,37.072658,-76.38992,1,place,,,"Hampton, VA 23630",,,,,Hampton,VA,"Hampton City",23630,US,"TIGER/Line® from the US Census Bureau",,
"Longwood University",Farmville,Virginia,37.280694,-78.421284,1,place,,,"Farmville, VA 23901",,,,,Farmville,VA,"Prince Edward County",23901,US,"TIGER/Line® from the US Census Bureau",,
"Marymount University",Arlington,Virginia,38.885484,-77.099113,1,place,,,"Arlington, VA 22201",,,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® from the US Census Bureau",,
"Radford University",Radford,Virginia,37.119732,-80.556541,1,place,,,"Radford, VA 24141",,,,,Radford,VA,"Radford City",24141,US,"TIGER/Line® from the US Census Bureau",,
"Riverside College of Health Careers","Newport News",Virginia,37.058296,-76.463471,1,place,,,"Newport News, VA 23601",,,,,"Newport News",VA,"Newport News City",23601,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Virginia",Vienna,Virginia,38.897361,-77.253749,1,place,,,"Vienna, VA 22180",,,,,Vienna,VA,"Fairfax County",22180,US,"TIGER/Line® from the US Census Bureau",,
"Bellingham Technical College",Bellingham,Washington,48.754401,-122.478836,1,place,,,"Bellingham, WA 98225",,,,,Bellingham,WA,"Whatcom County",98225,US,"TIGER/Line® from the US Census Bureau",,
"Central Washington University",Ellensburg,Washington,47.028084,-120.48998,1,place,,,"Ellensburg, WA 98926",,,,,Ellensburg,WA,"Kittitas County",98926,US,"TIGER/Line® from the US Census Bureau",,
"Centralia College",Centralia,Washington,46.713822,-123.01046,1,place,,,"Centralia, WA 98531",,,,,Centralia,WA,"Lewis County",98531,US,"TIGER/Line® from the US Census Bureau",,
"City University of Seattle",Seattle,Washington,47.610902,-122.336422,1,place,,,"Seattle, WA 98101",,,,,Seattle,WA,"King County",98101,US,"TIGER/Line® from the US Census Bureau",,
"Eastern Washington University",Cheney,Washington,47.48739,-117.57576,1,place,,,"Cheney, WA 99004",,,,,Cheney,WA,"Spokane County",99004,US,"TIGER/Line® from the US Census Bureau",,
"Perry Technical Institute",Yakima,Washington,46.722625,-120.406039,1,place,,,"Yakima, WA 98901",,,,,Yakima,WA,"Yakima County",98901,US,"TIGER/Line® from the US Census Bureau",,
"Saint Martin's University",Lacey,Washington,47.026418,-122.796695,1,place,,,"Lacey, WA 98503",,,,,Lacey,WA,"Thurston County",98503,US,"TIGER/Line® from the US Census Bureau",,
"Western Washington University",Bellingham,Washington,48.754401,-122.478836,1,place,,,"Bellingham, WA 98225",,,,,Bellingham,WA,"Whatcom County",98225,US,"TIGER/Line® from the US Census Bureau",,
"University of Charleston",Charleston,"West Virginia",38.350719,-81.630359,1,place,,,"Charleston, WV 25301",,,,,Charleston,WV,"Kanawha County",25301,US,"TIGER/Line® from the US Census Bureau",,
"Potomac State College of West Virginia University",Keyser,"West Virginia",39.452686,-78.892554,1,place,,,"Keyser, WV 26726",,,,,Keyser,WV,"Mineral County",26726,US,"TIGER/Line® from the US Census Bureau",,
"Wheeling University",Wheeling,"West Virginia",40.102703,-80.647599,1,place,,,"Wheeling, WV 26003",,,,,Wheeling,WV,"Ohio County",26003,US,"TIGER/Line® from the US Census Bureau",,
"Lakeland University",Plymouth,Wisconsin,43.768454,-87.975773,1,place,,,"Plymouth, WI 53073",,,,,Plymouth,WI,"Sheboygan County",53073,US,"TIGER/Line® from the US Census Bureau",,
